search URL:,https://patents.google.com/?q=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29&oq=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9248286-B2,Medical self-treatment using non-invasive vagus nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2013-04-08,2016-02-02,2016-02-02,https://patents.google.com/patent/US9248286B2/en,https://patentimages.storage.googleapis.com/53/3c/8f/a50abc4b6a877e/US09248286-20160202-D00000.png
US-12329964-B2,Treatment paradigms for nerve stimulation ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico",2010-08-19,2023-08-01,2025-06-17,2025-06-17,https://patents.google.com/patent/US12329964B2/en,https://patentimages.storage.googleapis.com/43/74/05/46c4e66f169ffe/US12329964-20250617-D00000.png
US-2023405319-A1,Non-invasive nerve stimulation with mobile software application ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2023-06-06,2023-12-21,,https://patents.google.com/patent/US20230405319A1/en,https://patentimages.storage.googleapis.com/0f/d3/50/911872844d8431/US20230405319A1-20231221-D00000.png
US-9339181-B2,Time-based unobtrusive active eye interrogation ,Elwha Llc,"Allen L. Brown, Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K. Y. Jung, Jordin T. Kare, Chris Demetrios Karkanias, Eric C. Leuthardt, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Barney Pell, Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, JR., Richard N. Zare",2012-12-11,2015-07-02,2016-05-17,2016-05-17,https://patents.google.com/patent/US9339181B2/en,https://patentimages.storage.googleapis.com/9f/0c/69/04726790d51d2d/US09339181-20160517-D00000.png
US-10441780-B2,Systems and methods for vagal nerve stimulation ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico",2005-11-10,2013-07-29,2019-10-15,2019-10-15,https://patents.google.com/patent/US10441780B2/en,https://patentimages.storage.googleapis.com/76/66/75/283ab7f1c65260/US10441780-20191015-D00000.png
US-11944807-B2,Vagal nerve stimulation for treating central nervous system disorders ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico",2010-08-19,2021-09-22,2024-04-02,2024-04-02,https://patents.google.com/patent/US11944807B2/en,https://patentimages.storage.googleapis.com/60/79/d8/615b87bdecec7f/US11944807-20240402-D00000.png
US-9289121-B2,Self-aligning unobtrusive active eye interrogation ,Elwha Llc,"Allen L. Brown, Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K.Y. Jung, Jordin T. Kare, Chris Demetrios Karkanias, Eric C. Leuthardt, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Barney Pell, Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, JR., Richard N. Zare",2012-12-11,2014-09-26,2016-03-22,2016-03-22,https://patents.google.com/patent/US9289121B2/en,https://patentimages.storage.googleapis.com/58/7e/d1/3452693fa05f17/US09289121-20160322-D00000.png
US-9566426-B2,Systems and methods for vagal nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2011-08-31,2014-05-23,2017-02-14,2017-02-14,https://patents.google.com/patent/US9566426B2/en,https://patentimages.storage.googleapis.com/df/60/79/a35b794cc64189/US09566426-20170214-D00000.png
EP-3145584-B1,Systems for vagal nerve stimulation ,"electroCore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2014-05-23,2015-05-22,2022-02-16,2022-02-16,https://patents.google.com/patent/EP3145584B1/en,https://patentimages.storage.googleapis.com/e6/92/ae/58a4d0002c7e85/imgf0001.png
US-10232178-B2,Non-invasive magnetic or electrical nerve stimulation to treat or prevent dementia ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-11-08,2019-03-19,2019-03-19,https://patents.google.com/patent/US10232178B2/en,https://patentimages.storage.googleapis.com/cf/56/a2/819d94a500a30c/US10232178-20190319-D00000.png
US-2021042830-A1,User media platform server system ,Ruon Global Ltd,Timothy E. Burke,2019-08-09,2020-08-10,2021-02-11,,https://patents.google.com/patent/US20210042830A1/en,https://patentimages.storage.googleapis.com/08/78/e3/4f8e77b710caef/US20210042830A1-20210211-D00000.png
JP-7519045-B2,Method and system for assessing disease using dynamic analysis of cardiac and photoplethysmographic signals - Patents.com ,アナリティクス フォー ライフ インコーポレイテッド,"メヘディ パーク，, ティモシー ウィリアム フォーセット バートン，, シャムラル ラムチャンダニ，",2019-06-18,2020-03-26,2024-07-19,2024-07-19,https://patents.google.com/patent/JP7519045B2/en,https://patentimages.storage.googleapis.com/c2/bb/7b/641b2129ad62ab/0007519045000072.png
KR-101854205-B1,Anaesthesia and consciousness depth monotoring system ,데이비드 버톤,데이비드 버톤,2009-08-14,2010-08-13,2018-05-04,2018-05-04,https://patents.google.com/patent/KR101854205B1/en,https://patentimages.storage.googleapis.com/b6/8f/b5/41cd78be2e83ad/112016039013119-pat00012.png
US-8306610-B2,Method and apparatus for analysis of psychiatric and physical conditions ,Susan Mirow,Susan Mirow,2006-04-18,2007-04-18,2012-11-06,2012-11-06,https://patents.google.com/patent/US8306610B2/en,https://patentimages.storage.googleapis.com/9a/6b/62/03a6c77192577f/US08306610-20121106-D00000.png
US-10232174-B2,Non-invasive electrical and magnetic nerve stimulators used to treat overactive bladder and urinary incontinence ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2015-10-29,2019-03-19,2019-03-19,https://patents.google.com/patent/US10232174B2/en,https://patentimages.storage.googleapis.com/98/b3/1b/5659018f232e5a/US10232174-20190319-D00000.png
US-10105571-B2,Systems and methods for sensing balanced-action for improving mammal work-track efficiency ,James C. Solinsky,James C. Solinsky,2010-02-25,2016-10-18,2018-10-23,2018-10-23,https://patents.google.com/patent/US10105571B2/en,https://patentimages.storage.googleapis.com/b3/79/1f/b12e95bfebcd68/US10105571-20181023-D00000.png
US-2020295985-A1,Context based notifications using multiple processing levels in conjunction with queuing determined interim results in a networked environment ,Vignet Incorporated,"Praduman Jain, Josh Schilling",2017-11-06,2020-06-01,2020-09-17,,https://patents.google.com/patent/US20200295985A1/en,https://patentimages.storage.googleapis.com/94/20/52/4aaa4c0171e8c2/US20200295985A1-20200917-D00000.png
KR-102502228-B1,Social robots with environmental control features ,워너 브로스. 엔터테인먼트 인크.,"그레고리 아이. 게위키, 루이스 에스. 오스트로버",2016-11-10,2017-11-09,2023-02-20,2023-02-20,https://patents.google.com/patent/KR102502228B1/en,https://patentimages.storage.googleapis.com/62/f9/d9/d3bc17eaec5723/112019058527999-pct00001.png
CN-113396332-B,Methods and applications for evaluating pregnancy progress and premature abortion for clinical intervention ,"斯坦福大学托管董事会, 国家血清研究所","梁靓, 顾继娟, M·麦尔白, M·P·辛德",2018-09-21,2019-09-23,2025-02-11,2025-02-11,https://patents.google.com/patent/CN113396332B/en,
US-8810388-B2,Position tracking and mobility assessment system ,"Peter G. Jacobs, Eric A. Wan, Anindya S. Paul","Peter G. Jacobs, Eric A. Wan, Anindya S. Paul",2011-02-23,2012-02-23,2014-08-19,2014-08-19,https://patents.google.com/patent/US8810388B2/en,https://patentimages.storage.googleapis.com/84/55/8a/029c95604b4700/US08810388-20140819-D00000.png
US-2017251987-A1,System for Measuring and Managing Stress Using Generative Feedback ,Ronda Collier,Ronda Collier,2016-03-04,2016-03-04,2017-09-07,,https://patents.google.com/patent/US20170251987A1/en,https://patentimages.storage.googleapis.com/b1/99/bb/159c5c691695a8/US20170251987A1-20170907-D00000.png
KR-101681910-B1,Monoclonal antibodies against the RGM A protein and uses thereof ,"애브비 인코포레이티드, 아비에 도이치란트 게엠베하 운트 콤파니 카게","베른하르트 카. 뮐러, 마르틴 슈미트, 이브 에이치. 바로우, 메리 알. 레디, 충-밍 셰, 필립 디. 바드웰",2008-02-29,2009-02-27,2016-12-05,2016-12-05,https://patents.google.com/patent/KR101681910B1/en,https://patentimages.storage.googleapis.com/76/17/0c/a801c7f65d25e3/112010061545736-pct00018.png
US-8150522-B2,Active control of epileptic seizures and diagnosis based on critical systems-like behavior ,The Trustees Of The University Of Pennsylvania,"Javier R. Echauz, Gregory A. Worrell, Brian Litt",2005-08-19,2006-08-18,2012-04-03,2012-04-03,https://patents.google.com/patent/US8150522B2/en,https://patentimages.storage.googleapis.com/a4/53/db/9f0f2eeac5eb93/US08150522-20120403-D00000.png
US-12213795-B2,Devices and methods for remote therapy and patient monitoring ,"Electrocore, Inc","Bruce J. Simon, Joseph P. Errico",2011-01-12,2023-11-13,2025-02-04,2025-02-04,https://patents.google.com/patent/US12213795B2/en,https://patentimages.storage.googleapis.com/2c/46/11/e3294efe092d30/US12213795-20250204-D00000.png
CN-116570283-A,Perioperative patient emotion monitoring system and method ,甘肃省人民医院,"韩琳, 张红燕, 燕芳红, 郭佳丽",2023-04-25,2023-04-25,2023-08-11,,https://patents.google.com/patent/CN116570283A/en,
US-12170146-B2,Omnichannel therapeutic platform ,"Reulay, Inc.","Srinivasan S. PILLAY, Patrick CANDELA, Abhishek Gupta",2020-11-02,2021-10-29,2024-12-17,2024-12-17,https://patents.google.com/patent/US12170146B2/en,https://patentimages.storage.googleapis.com/88/08/2f/af6ff31c1437a0/US12170146-20241217-D00000.png
US-2007258329-A1,Method and apparatus for the exploitation of piezoelectric and other effects in carbon-based life forms ,Timothy Winey,Timothy Winey,2005-01-27,2006-07-13,2007-11-08,,https://patents.google.com/patent/US20070258329A1/en,https://patentimages.storage.googleapis.com/24/4c/f3/34a25854fd8157/US20070258329A1-20071108-D00000.png
US-2015142082-A1,Systems and methods of biofeedback using nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico",2013-11-15,2013-11-15,2015-05-21,,https://patents.google.com/patent/US20150142082A1/en,https://patentimages.storage.googleapis.com/84/08/46/2d2d684f8236d5/US20150142082A1-20150521-D00000.png
US-10080495-B2,Unobtrusive active eye interrogation ,Elwha Llc,"Allen L. Brown, Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K. Y. Jung, Jordin T. Kare, Chris Demetrios Karkanias, Eric C. Leuthardt, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Barney Pell, Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, JR., Richard N. Zare",2012-12-11,2014-09-26,2018-09-25,2018-09-25,https://patents.google.com/patent/US10080495B2/en,https://patentimages.storage.googleapis.com/1a/98/84/3fa433ca0fd92c/US10080495-20180925-D00000.png
US-10376197-B2,Diagnosing system for consciousness level measurement and method thereof ,Penina Ohana Lubelchick,Penina Ohana Lubelchick,2010-09-07,2016-05-11,2019-08-13,2019-08-13,https://patents.google.com/patent/US10376197B2/en,https://patentimages.storage.googleapis.com/48/8f/42/5b6b78219cd2e8/US10376197-20190813-D00000.png
US-9801553-B2,"System, method, and computer program product for the real-time mobile evaluation of physiological stress ","Design Interactive, Inc.","George Chadderdon, III, Brent Winslow, Sara Dechmerowski, David Jones",2014-09-26,2014-09-26,2017-10-31,2017-10-31,https://patents.google.com/patent/US9801553B2/en,https://patentimages.storage.googleapis.com/eb/af/c5/84fa621a435c2b/US09801553-20171031-D00000.png
EP-3843623-B1,"Photoplethysmography based detection of transitions between awake, drowsiness, and sleep phases of a subject ",Sleep Advice Technologies S.r.l.,Sara GROPPO,2018-08-29,2019-08-29,2022-01-12,2022-01-12,https://patents.google.com/patent/EP3843623B1/en,https://patentimages.storage.googleapis.com/55/93/e9/196581caee2fab/imgf0001.png
CN-113301951-A,System and method for a wearable device including a stimulation and monitoring assembly ,美商阈限科学公司,"艾瑞克·卡布拉姆斯, 约瑟·卡马拉, 欧文·凯伊-考德勒, 亚历山大·B·莱弗尔, 乔纳森·M·罗斯伯格, 毛里齐奥·阿里恩佐, 卡梅尔·法劳理",2018-12-13,2019-12-13,2021-08-24,,https://patents.google.com/patent/CN113301951A/en,https://patentimages.storage.googleapis.com/41/fc/31/f5fff118ba6d2e/HDA0003166263920000011.png
US-2014163329-A1,Unobtrusive Active Eye Interrogation with Gaze Attractor ,Elwha Llc,"Allen L. Brown, Jr., Douglas C. Burger, Eric Horvitz, Roderick A. Hyde, Edward K.Y. Jung, Eric C. Leuthardt, Jordin T. Kare, Chris Demetrios Karkanias, John L. Manferdelli, Craig J. Mundie, Nathan P. Myhrvold, Barney Pell, Clarence T. Tegreene, Willard H. Wattenburg, Charles Whitmer, Lowell L. Wood, JR., Richard N. Zare",2012-12-11,2012-12-11,2014-06-12,,https://patents.google.com/patent/US20140163329A1/en,https://patentimages.storage.googleapis.com/ac/83/23/02dafa7ec15049/US20140163329A1-20140612-D00000.png
KR-20250034076-A,"Systems and methods for measuring, predicting, and optimizing brain function ",호라이즌 뉴로사이언시스 엘엘씨,에밀리아노 산타르네치,2022-06-06,2023-06-05,2025-03-10,,https://patents.google.com/patent/KR20250034076A/en,https://patentimages.storage.googleapis.com/c8/52/5e/66097db6336f4c/pct00001.png
JP-5656996-B2,Engineered aerosol particles and related methods ,"ザ ユニバーシティ オブ ノース キャロライナ アット チャペル ヒル, ザ  ユニバーシティ  オブ  ノース  キャロライナ  アット  チャペル  ヒル, リクイディア テクノロジーズ， インコーポレイテッド, リクイディア  テクノロジーズ，  インコーポレイテッド","ジョセフ エム． デジモン，, ジョセフ  エム． デジモン，, ベンジャミン メイナー，, ベンジャミン メイナー，, メアリー ネピアー，, メアリー ネピアー，, ジョナサン ピライ，, ジョナサン ピライ，, フィリップ デジモン，, フィリップ デジモン，, ウィル パトリック，, ウィル パトリック，, カイル レーカー，, カイル レーカー，, ハンジュン チャン，, ハンジュン チャン，",2009-07-13,2010-07-13,2015-01-21,2015-01-21,https://patents.google.com/patent/JP5656996B2/en,
KR-20180110100-A,Apparatus and method for evaluating heart failure ,삼성전자주식회사,"자바하르 자인, 코디 워섬, 제임스 영, 사지드 사디, 프라나브 미스트리, 아비짓 지. 벤데일",2016-02-25,2017-02-24,2018-10-08,,https://patents.google.com/patent/KR20180110100A/en,https://patentimages.storage.googleapis.com/30/4f/2b/842f166dffdab6/pct00007.png
US-2019175895-A1,Vibration system localized proximate a target artery ,"Parallel Biotechnologies, LLC","Arkady URYASH, Andrew Kenneth HOFFMAN",2003-09-04,2018-04-04,2019-06-13,,https://patents.google.com/patent/US20190175895A1/en,https://patentimages.storage.googleapis.com/78/26/86/607005444971b7/US20190175895A1-20190613-D00001.png
CN-116096289-A,Systems and methods for enhancing neurological rehabilitation ,医学节奏股份有限公司,"欧文·麦卡锡, 布莱恩·哈里斯, 亚历克斯·卡尔帕西斯, 杰弗里·朱, 布莱恩·布斯凯·史密斯, 埃里克·理查森",2020-07-21,2021-07-21,2023-05-09,,https://patents.google.com/patent/CN116096289A/en,https://patentimages.storage.googleapis.com/f8/51/34/fd1a8db52c786f/HDA0004121637830000011.png
US-2013204545-A1,Systems and methods for sensing balanced-action for improving mammal work-track efficiency ,James C. Solinsky,James C. Solinsky,2009-12-17,2012-08-08,2013-08-08,,https://patents.google.com/patent/US20130204545A1/en,https://patentimages.storage.googleapis.com/e6/7f/bc/5e6c70fa3238c1/US20130204545A1-20130808-D00000.png
US-2023364413-A1,Systems and methods for optimizing nerve stimulation ,"Electrocore, Inc.","Michael Romaniw, Jonathan Gardiner, Jeckin Shah",2022-05-13,2022-05-13,2023-11-16,,https://patents.google.com/patent/US20230364413A1/en,https://patentimages.storage.googleapis.com/4b/be/a2/516ee5bfe9c1b0/US20230364413A1-20231116-D00000.png
US-2023277838-A1,Vagal nerve stimulation therapy ,"Electrocore, Inc","J. P. Errico, Bruce J. Simon, Peter Staats",2017-12-22,2023-01-02,2023-09-07,,https://patents.google.com/patent/US20230277838A1/en,https://patentimages.storage.googleapis.com/6b/80/ea/540723b54da64c/US20230277838A1-20230907-D00000.png
US-12172016-B2,Systems and methods for initial provisioning and refilling of medical devices ,"Electrocore, Inc.","Joseph P. Errico, Arthur F. Ross, Muhammad Basit Qari",2017-12-22,2023-05-12,2024-12-24,2024-12-24,https://patents.google.com/patent/US12172016B2/en,https://patentimages.storage.googleapis.com/d5/80/45/15ce212f377e45/US12172016-20241224-D00000.png
WO-2015138981-A1,Devices and methods for treating medical disorders with evoked potentials and vagus nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico",2014-03-14,2015-03-13,2015-09-17,,https://patents.google.com/patent/WO2015138981A1/en,
US-2023249060-A1,Generating doppelgangers that reflect play personality or intrinsic motivators of a user/subject ,PlayNovation LLC,"Kristen Cozad, Stuart Brown",2013-09-27,2023-04-18,2023-08-10,,https://patents.google.com/patent/US20230249060A1/en,https://patentimages.storage.googleapis.com/d1/14/8e/c040cbb6e137f2/US20230249060A1-20230810-D00000.png
AU-2024220154-A1,Systems and methods for initial provisioning and refilling of medical devices ,"Electrocore, Inc.","Franis R. AMATO, Joseph P. Errico, Hecheng Hu, Steven M. Melendez, Bruce J. Simon",2017-12-22,2024-09-27,2024-10-17,,https://patents.google.com/patent/AU2024220154A1/en,
US-2020230408-A1,Systems and methods for treating patients with diseases associated with replicating pathogens ,"Electrocore, Inc.","Joseph P. Errico, Bruce J. Simon, Peter Staats, Thomas Errico",2018-12-21,2020-04-02,2020-07-23,,https://patents.google.com/patent/US20200230408A1/en,https://patentimages.storage.googleapis.com/c6/02/a3/70cafd692f30e4/US20200230408A1-20200723-D00000.png
EP-4216816-A1,Method and system to assess disease using multi-sensor signals ,Analytics For Life Inc.,"Ian Shadforth, Jonathan James WOODWARD, Shyamlal Ramchandani",2020-09-25,2021-09-27,2023-08-02,,https://patents.google.com/patent/EP4216816A1/en,
KR-20190002762-A,Improved biometric performance in the presence of noise ,삼성전자주식회사,"자와하르 자인, 제임스 영, 코디 워썸, 사지드 사디, 프라나브 미스트리",2015-07-16,2016-09-28,2019-01-08,,https://patents.google.com/patent/KR20190002762A/en,https://patentimages.storage.googleapis.com/88/cc/83/a5116ebfd7e7d2/pct00066.png
US-10932716-B1,Characterizing sleep architecture ,"Cerner Innovation, Inc.","Douglas S. McNair, Kanakasabha Kailasam, William Stadler",2013-05-16,2017-12-27,2021-03-02,2021-03-02,https://patents.google.com/patent/US10932716B1/en,https://patentimages.storage.googleapis.com/97/cf/fb/f69312fff2f588/US10932716-20210302-D00000.png
US-2024216682-A1,Systems and methods for optimizing nerve stimulation therapy ,"Electrocore, Inc.","Jeckin Shah, Tanja Martin, Mike Romaniw, Muhammad Basit Qari",2023-01-02,2023-12-27,2024-07-04,,https://patents.google.com/patent/US20240216682A1/en,https://patentimages.storage.googleapis.com/51/0f/bc/71b56626efb4fb/US20240216682A1-20240704-D00000.png
US-2021401664-A1,Safe and efficient vibrotactile multi-channel stimulation for the treatment of brain disorders ,The Board Of Trustees Of The Leland Stanford Junior University,Peter Alexander Tass,2017-07-28,2018-07-26,2021-12-30,,https://patents.google.com/patent/US20210401664A1/en,https://patentimages.storage.googleapis.com/36/ae/1b/dbb4160c5964f8/US20210401664A1-20211230-D00000.png
CN-117918863-A,A method and system for real-time artifact processing and feature extraction of electroencephalogram signals ,北京津发科技股份有限公司,请求不公布姓名,2023-12-21,2023-12-21,2024-04-26,,https://patents.google.com/patent/CN117918863A/en,
US-2018125748-A1,"Devices, Mediums, Systems And Methods For Facilitating Female Sexual Arousal ","Aytu Women's Health, LLC.","Alex Goldenberg, Jessica Liberatore, Stephen Andrew WILSON, Eric Goldfarb",2015-04-24,2016-04-23,2018-05-10,,https://patents.google.com/patent/US20180125748A1/en,https://patentimages.storage.googleapis.com/5b/5d/3e/5a1434fd3b8920/US20180125748A1-20180510-D00000.png
WO-2012032507-A1,Diagnosing system for consciousness level measurement and method thereof ,Penina Ohana Lubelchick,Penina Ohana Lubelchick,2010-09-07,2011-09-05,2012-03-15,,https://patents.google.com/patent/WO2012032507A1/en,
US-2024186009-A1,Systems and methods of providing deep learning based neurocognitive impairment evaluation using extended reality ,The Board Of Trustees Of The University Of Illinois,"Inki Kim, Adam Cross",2022-12-06,2023-12-06,2024-06-06,,https://patents.google.com/patent/US20240186009A1/en,https://patentimages.storage.googleapis.com/4c/57/af/48bb736de97c77/US20240186009A1-20240606-D00000.png
CN-106037764-A,Pressure management method and system ,包磊,包磊,2016-05-20,2016-05-20,2016-10-26,,https://patents.google.com/patent/CN106037764A/en,
CN-110251801-A,An eye mask feedback microcurrent stimulation sleep aid system ,广东工业大学,"杨其宇, 杨浩鸿, 黄中铠, 李明, 苏俊涛",2019-05-06,2019-05-06,2019-09-20,,https://patents.google.com/patent/CN110251801A/en,
CA-2898342-C,Medical self-treatment using non-invasive vagus nerve stimulation ,"ElectroCore, LLC, Bruce J. Simon, Joseph P. Errico, John T. Raffle","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2013-01-15,2014-01-10,2018-01-09,2018-01-09,https://patents.google.com/patent/CA2898342C/en,
JP-2022137168-A,Gas processing and supply system and method ,"イミュノレス－セラピューティクス，エルエルシー, Immunores Therapeutics Llc","ハワード レーン，ロナルド, Howard Lane Ronald, ダビニョン，バリー, Davignon Barry, ヒース，ピーター, heath Peter",2016-08-19,2022-07-08,2022-09-21,,https://patents.google.com/patent/JP2022137168A/en,https://patentimages.storage.googleapis.com/a3/bd/02/6ff1ae2984d4be/2022137168000002.png
US-2021361244-A1,Stochastic-switched noise stimulation for identification of input-output brain network dynamics and closed loop control ,University Of Southern California,Maryam Shanechi,2016-08-15,2021-08-09,2021-11-25,,https://patents.google.com/patent/US20210361244A1/en,https://patentimages.storage.googleapis.com/fb/28/52/5932060efcb177/US20210361244A1-20211125-D00000.png
